City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,nova xavantina,-14.6667,-52.35,23.95,93,100,1.28,BR,1708302240
340,sault ste. marie,46.5168,-84.3333,-6.69,79,100,7.2,CA,1708302055
341,puerto armuelles,8.2833,-82.8667,29.99,67,96,0.45,PA,1708302243
342,dampit,-8.2116,112.7493,24.77,87,69,0.93,ID,1708302244
343,loreto,22.2667,-101.9667,17.71,22,0,0.81,MX,1708302246
344,morwell,-38.2333,146.4,18.0,54,71,1.6,AU,1708302248
345,'ain el melh,34.8415,4.1638,9.65,77,4,2.08,DZ,1708302249
346,ujiie,36.6833,139.9667,10.85,87,100,2.47,JP,1708302250
347,belmonte,-15.8631,-38.8828,26.08,88,100,3.76,BR,1708302251
348,ponta delgada,37.7333,-25.6667,18.44,94,20,1.03,PT,1708302252
349,ljusdal,61.8288,16.0913,-5.26,98,100,1.05,SE,1708302253
350,howrah,22.5892,88.3103,20.0,94,40,0.0,IN,1708302254
351,melekeok village,7.4957,134.6367,28.31,78,75,3.6,PW,1708302256
352,floro,61.5996,5.0328,4.04,87,100,5.14,NO,1708302256
353,alto araguaia,-17.3147,-53.2153,20.93,89,100,0.64,BR,1708302258
354,pasuquin,18.3328,120.6177,24.97,83,20,1.54,PH,1708302259
355,praia da vitoria,38.7333,-27.0667,17.14,94,75,3.08,PT,1708302259
356,tripoli,32.8752,13.1875,14.72,75,81,4.36,LY,1708302260
357,al kharijah,25.4514,30.5464,13.12,44,2,3.29,EG,1708302261
358,palikir - national government center,6.9248,158.1611,28.47,84,75,5.66,FM,1708302264
359,barro,-6.7167,-38.8667,24.56,83,91,1.04,BR,1708302103
360,bantay,17.5847,120.3892,25.71,66,4,2.73,PH,1708302266
361,grand falls-windsor,48.9332,-55.6649,-6.39,76,58,4.02,CA,1708302267
362,kutum,14.2,24.6667,16.42,19,81,2.81,SD,1708302268
